#{"t_start": 1761997085.741979, "env_id": "None"}
r,l,t
-485.320741,12,16.472092
-178.922193,10,30.796177
-861.503833,16,44.229751
-185.859763,10,58.521799
-757.620349,16,72.050313
-839.527523,17,85.620787
-1030.443043,31,100.250039
-203.190475,10,114.08953
-1483.909536,48,130.567098
-1078.162261,25,144.575931
-142.753003,10,158.41906
-755.562889,15,171.327545
-902.057907,18,184.729635
-247.181429,10,197.154443
-505.014837,12,209.788142
-746.526901,15,222.716218
-980.252367,21,236.354605
-1163.598026,39,251.902164
-217.372715,10,264.261913
-973.54226,20,277.68803
-212.712192,10,291.472421
