#{"t_start": 1761996583.679944, "env_id": "None"}
r,l,t
-77.698939,7,12.270874
-4.513504,1,17.667865
-70.159786,6,26.648091
-52.599237,6,36.630095
-66.003365,6,45.592137
-37.151763,6,55.588007
-47.324032,6,65.566193
-61.681007,6,74.550737
-46.918222,6,83.52414
-27.453847,6,93.52092
-63.442442,8,103.00229
-62.084916,6,112.050072
-52.165021,7,122.291386
-43.629878,6,131.256752
-49.567744,6,141.246813
-60.179574,6,151.898211
-37.746202,6,161.89752
-12.292139,6,171.877194
-47.862568,6,180.859611
-88.913786,7,190.090705
-81.604201,7,199.317264
-53.46178,6,209.949397
-58.387481,6,218.91369
-48.682866,7,228.15959
-82.147874,7,237.388598
-72.592358,7,246.650157
-33.090853,6,256.770497
-53.231835,8,267.975558
-8.207974,6,278.10325
-55.519828,6,288.1466
-40.106046,7,298.797452
-46.075197,8,309.088233
-56.413557,7,318.857202
-34.352801,6,329.503968
-74.02993,6,338.986955
-57.454823,7,349.767864
-69.76878,6,359.108455
-37.688222,6,370.418915
-55.267557,6,381.050887
-53.051222,7,391.64094
-39.99338,8,402.243503
