#{"t_start": 1762437392.9276662, "env_id": "None"}
r,l,t
-100.0,1,22.404231
-100.0,1,32.747026
-100.0,1,43.090291
-100.0,1,53.433026
-100.0,1,63.776006
-100.0,1,74.119532
-100.0,1,84.462425
-100.0,1,94.805507
-100.0,1,105.151673
-100.0,1,115.494612
-100.0,1,125.840988
-100.0,1,136.187633
-100.0,1,146.533304
-100.0,1,156.87418
-100.0,1,167.217275
-100.0,1,177.56118
-100.0,1,187.904392
-100.0,1,198.247355
-100.0,1,208.587553
-100.0,1,218.933967
-100.0,1,229.280572
-100.0,1,239.626969
-100.0,1,249.969656
-100.0,1,260.3158
-100.0,1,270.662192
-100.0,1,281.008801
-100.0,1,291.351657
-100.0,1,301.698133
-100.0,1,312.038678
-100.0,1,322.385189
-100.0,1,332.731369
-100.0,1,343.074614
-100.0,1,353.417897
