episode/length,train/mean_return_100,episode/return,rollout/ep_len_mean,time/iterations,episode/success,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/success_rate_100,time/fps,train/mean_length_100,train/std,train/clip_fraction,train/entropy_loss,train/value_loss,train/clip_range,train/explained_variance,train/loss,train/approx_kl,train/n_updates,train/policy_gradient_loss,train/learning_rate
35,175.57898,120.71823,41.16326530612245,1,0,702,2048,174.45936584472656,0.0,2,41.291666666666664,,,,,,,,,,,
45,177.3529,158.59598,41.40816326530612,2,0,1394,4096,177.4648895263672,0.0,2,41.34375,1.0122015476226807,0.033837890625,-5.703410749137402,7616.582020568848,0.2,-0.00787508487701416,2885.66455078125,0.0050307363,10,-0.005510159919504076,0.0003
40,190.05034,180.53528,43.38,3,0,2051,6144,190.4248809814453,0.0,2,43.37,1.0143370628356934,0.05791015625,-5.72753868997097,6900.3776382446285,0.2,0.17124539613723755,3151.18310546875,0.0071875406,20,-0.006007624164340086,0.0003
43,206.31293,194.99481,45.44,4,0,2683,8192,206.21762084960938,0.0,3,45.29,1.0139275789260864,0.050439453125,-5.73062951117754,6788.432902526855,0.2,0.28049397468566895,3413.96337890625,0.0056016315,30,-0.005227379509597086,0.0003
64,210.77914,396.43307,46.7,5,0,3304,10240,211.76287841796875,0.0,3,46.58,1.0135347843170166,0.0689453125,-5.728449277579784,6384.121911621094,0.2,0.363847553730011,2716.161376953125,0.0075524445,40,-0.00810024702368537,0.0003
44,211.29128,208.06018,47.76,6,0,3914,12288,212.3749542236328,0.0,3,47.52,1.0229365825653076,0.051318359375,-5.74743622392416,5852.879583740234,0.2,0.43340110778808594,2614.7412109375,0.0061621657,50,-0.006774977809982374,0.0003
54,214.17398,263.4787,48.93,7,0,4511,14336,218.50961303710938,0.0,3,48.3,1.0217523574829102,0.055322265625,-5.759733474254608,5575.965684509278,0.2,0.48913395404815674,2649.81689453125,0.007869374,60,-0.009505413025908637,0.0003
62,231.29347,261.7894,50.85,8,0,5086,16384,230.62184143066406,0.0,3,50.7,1.0191538333892822,0.080078125,-5.750098763406276,5393.134064483643,0.2,0.5395572781562805,3395.8837890625,0.008949062,70,-0.009190083568682894,0.0003
65,241.9518,364.1166,53.59,9,0,5624,18432,251.19593811035156,0.0,3,52.57,1.0125868320465088,0.10068359375,-5.731436003744602,5941.931251525879,0.2,0.5612213015556335,2751.54833984375,0.009769245,80,-0.01468176624039188,0.0003
72,262.88312,305.91992,55.93,10,0,6151,20480,268.0157470703125,0.0,3,55.29,1.0070891380310059,0.055908203125,-5.706961040198803,5515.346115875244,0.2,0.6074851751327515,1999.878662109375,0.0075281477,90,-0.008483699650969356,0.0003
47,277.54727,198.7344,59.03,11,0,6666,22528,281.4820251464844,0.0,3,58.15,1.01322340965271,0.102490234375,-5.708091716468334,5575.84888305664,0.2,0.635485053062439,1771.91455078125,0.010827298,100,-0.011683586906292476,0.0003
64,291.08115,318.48718,62.38,12,0,7122,24576,290.7542419433594,0.0,3,61.58,1.0092905759811401,0.08662109375,-5.7143957510590555,5743.79211807251,0.2,0.6514561772346497,2150.71875,0.007837185,110,-0.010113266733242199,0.0003
77,294.98032,499.48724,64.93,13,0,7601,26624,302.2738037109375,0.0,3,63.86,1.004251480102539,0.077392578125,-5.696335113048553,6424.320726013184,0.2,0.6583582162857056,3368.492431640625,0.00829613,120,-0.011527674202807248,0.0003
88,305.05527,478.0692,67.4,14,0,8069,28672,314.5561218261719,0.0,3,66.04,1.0027003288269043,0.075927734375,-5.684693393111229,5693.586487579346,0.2,0.7005761861801147,2791.544189453125,0.007927117,130,-0.009110517406952567,0.0003
65,318.65585,321.69974,68.54,15,0,8525,30720,328.904541015625,0.0,3,68.27,1.0084608793258667,0.077734375,-5.693405863642693,5339.689838409424,0.2,0.7310992479324341,3078.58154296875,0.0069165407,140,-0.009823113802121952,0.0003
47,322.16516,164.7738,72.43,16,0,8922,32768,287.8450927734375,0.0,3,69.66,1.0110821723937988,0.067431640625,-5.708316801488399,5801.798509216309,0.2,0.7307854294776917,2902.778076171875,0.0071113445,150,-0.008570605190470815,0.0003
81,288.3216,438.00177,73.56,17,0,9378,34816,282.1982421875,0.0,3,73.33,1.016092300415039,0.0580078125,-5.722954213619232,13534.251658630372,0.2,0.5976924300193787,5958.08349609375,0.00733344,160,-0.00886537414189661,0.0003
79,282.16718,354.07184,75.24,18,0,9810,36864,278.9014892578125,0.0,3,75.45,1.0240190029144287,0.0638671875,-5.748088677227497,5003.49239654541,0.2,0.7722822427749634,1767.114990234375,0.008046337,170,-0.00894130789092742,0.0003
64,248.25923,264.32022,80.83,19,0,10171,38912,261.0466003417969,0.0,3,79.45,1.018082618713379,0.07421875,-5.75252016633749,5002.684071350098,0.2,0.7863930463790894,2099.214599609375,0.0099949185,180,-0.009301990768290126,0.0003
86,268.0884,536.36646,82.26,20,0,10556,40960,300.885498046875,0.0,3,81.96,1.0303184986114502,0.050439453125,-5.765138745307922,17160.274182128906,0.2,0.6055921316146851,7476.60693359375,0.006895989,190,-0.00980682390218135,0.0003
94,330.48944,418.0205,86.65,21,0,10941,43008,330.48944091796875,0.0,3,86.65,1.0313156843185425,0.068212890625,-5.7907458424568174,6285.513877868652,0.2,0.7694728374481201,3502.01220703125,0.009192176,200,-0.009688296090462244,0.0003
115,335.8979,381.99524,89.23,22,0,11326,45056,335.5273132324219,0.0,3,88.75,1.0386385917663574,0.0583984375,-5.8066152557730675,5524.669786834716,0.2,0.797400712966919,3306.423095703125,0.007987417,210,-0.008687844057567418,0.0003
