#{"t_start": 1762439432.5778115, "env_id": "None"}
r,l,t
207.9331,48,28.009516
145.30276,36,41.782349
174.06284,41,55.819448
133.20378,39,69.747769
235.56827,45,84.00739
140.52637,38,97.875859
108.43083,35,111.591902
141.62181,37,125.416028
231.00433,45,139.67203
165.78937,41,153.705752
201.63739,42,167.796992
275.10593,47,182.160813
108.15338,35,195.864568
164.89563,41,209.90517
150.83385,37,223.716911
211.58475,46,238.032963
160.94702,38,251.913577
191.19699,40,265.911782
149.32454,38,279.789723
108.59645,35,293.50799
247.09732,46,307.818089
135.70987,39,321.750406
152.40453,39,335.682019
123.45955,39,349.611236
159.04794,37,363.431911
192.84134,41,377.463312
142.69656,37,391.289917
149.34984,40,405.278805
185.38474,42,419.366381
156.7157,39,433.298705
112.115326,38,447.155138
145.57611,38,461.030527
183.22864,41,475.067256
224.23349,52,489.695346
183.24548,41,503.702398
173.95303,41,517.74507
167.01486,43,531.886024
159.91254,41,545.927277
196.32596,45,560.180455
160.9754,41,574.217147
176.97311,41,588.248739
178.6236,40,602.225291
158.5279,42,616.307324
286.9927,48,630.713343
158.29391,43,644.843145
316.3149,55,659.621137
138.21863,41,673.664273
256.83945,48,688.060961
120.71823,35,701.771007
86.91208,34,718.483973
143.6769,35,732.187383
176.19397,41,746.221101
220.27985,49,760.692881
156.82086,40,774.669026
176.38474,40,788.642995
187.80573,41,802.668246
254.78998,47,817.007874
187.64023,43,831.141046
143.46744,40,845.114454
140.38882,39,859.033819
204.12448,42,873.127599
220.2721,47,887.483032
141.83847,38,901.351439
199.84454,45,915.585668
109.552246,39,929.514834
197.62762,43,943.66204
220.20966,46,957.956665
152.49228,37,971.771939
182.70224,43,985.907657
157.06473,40,999.887159
134.40062,39,1013.800792
139.15965,35,1027.503828
176.2749,42,1041.579954
179.45679,43,1055.70381
160.01578,43,1069.842185
124.549164,36,1083.600002
271.0799,46,1097.897889
163.98126,40,1111.874649
217.70709,46,1126.175255
191.63797,44,1140.361709
172.1814,40,1154.332575
152.66801,38,1168.198537
210.71179,41,1182.23504
97.032074,35,1195.944176
186.49033,40,1209.926977
292.57138,50,1224.43463
148.39848,36,1238.201153
