episode,timestamp,elapsed_time_s,curriculum_level,episode_reward,episode_length,tumble_initiated,tumble_recovered,recovery_steps,disturbance_intensity,disturbance_type,rolling_10_reward,rolling_10_recovery_rate,rolling_50_recovery_rate
1,1762842752.3986912,63.087958574295044,0,13686.675948,600,1,1,13,0.8009715167525551,unknown,13686.675948,0,0
2,1762842804.2722385,114.96150588989258,0,8039.819503,600,1,1,10,0.8288155394426296,unknown,10863.2477255,0,0
3,1762842856.1791255,166.86839294433594,0,15466.189696,600,1,1,20,0.8520418973543425,unknown,12397.561715666665,0,0
4,1762842910.595675,221.28494238853455,0,17460.594349,600,1,1,21,0.7530627275501719,unknown,13663.319873999999,0,0
5,1762842962.4956436,273.18491101264954,0,13858.132734,600,1,1,18,0.7875432578318269,unknown,13702.282446000001,0,0
6,1762843014.6591806,325.3484480381012,0,-2881.484036,600,1,1,1,0.775085079118298,unknown,10938.321365666668,0,0
7,1762843069.3825881,380.07185554504395,0,19431.162744,600,1,1,20,0.8549422006365396,unknown,12151.584419714287,0,0
8,1762843121.3130066,432.00227403640747,0,9531.319785,600,1,1,12,0.8038154360829358,unknown,11824.051340375001,0,0
9,1762843173.124707,483.81397438049316,0,10410.829733,600,1,1,17,0.7762514721702022,unknown,11667.026717333334,0,0
10,1762843225.1921344,535.8814017772675,0,10509.150314,600,1,1,18,0.7757341782603343,unknown,11551.239077000002,100.0,0
11,1762843279.8857312,590.5749986171722,0,125.616456,600,1,1,4,0.7259327616280905,unknown,10195.1331278,100.0,0
12,1762843331.7578704,642.4471378326416,0,8378.79335,600,1,1,16,0.8467809937223308,unknown,10229.030512500001,100.0,0
13,1762843383.9451337,694.6344010829926,0,-1933.633653,600,1,1,2,0.8655358492180648,unknown,8489.0481776,100.0,0
14,1762843438.113173,748.802440404892,0,9574.596261,600,1,1,16,0.815888026256238,unknown,7700.448368800001,100.0,0
15,1762843490.319702,801.0089693069458,0,8481.706669,600,1,1,14,0.8462697972707256,unknown,7162.8057623,100.0,0
16,1762843542.832411,853.5216784477234,0,1401.181682,600,1,1,5,0.8620457697442468,unknown,7591.0723341,100.0,0
17,1762843595.027404,905.7166714668274,0,9513.136068,600,1,1,11,0.7803082245905899,unknown,6599.269666499999,100.0,0
18,1762843649.281436,959.9707033634186,0,9490.674636,600,1,1,17,0.7715193993246947,unknown,6595.205151600001,100.0,0
19,1762843701.2246358,1011.9139032363892,0,-2528.890862,600,1,1,3,0.8798810698753351,unknown,5301.2330921,100.0,0
20,1762843752.9695427,1063.6588101387024,0,9511.424507,600,1,1,17,0.847738214664219,unknown,5201.4605114000005,100.0,0
21,1762843808.0280216,1118.7172889709473,0,12218.000196,600,1,1,18,0.7600647672528578,unknown,6410.6988854,100.0,0
22,1762843860.1684752,1170.857742547989,0,13508.086078,600,1,1,18,0.8488415393380473,unknown,6923.628158199999,100.0,0
23,1762843912.35973,1223.0489974021912,0,10599.929435,600,1,1,17,0.8148082693330587,unknown,8176.984466999999,100.0,0
24,1762843967.2105496,1277.8998169898987,0,466.223433,600,1,1,4,0.7640275899983203,unknown,7266.1471842,100.0,0
25,1762844019.4898987,1330.1791660785675,0,317.855118,600,1,1,5,0.7273338707676295,unknown,6449.7620291,100.0,0
26,1762844071.4641826,1382.153450012207,0,15728.8127,600,1,1,19,0.7132004121230633,unknown,7882.5251309,100.0,0
27,1762844123.3329663,1434.0222337245941,0,13002.518811,600,1,1,18,0.7359174013928851,unknown,8231.4634052,100.0,0
28,1762844178.051568,1488.740835428238,0,775.710926,600,1,1,7,0.8211952387166558,unknown,7359.9670342,100.0,0
29,1762844230.4556184,1541.1448857784271,0,9792.728037,600,1,1,17,0.7600903793090148,unknown,8592.1289241,100.0,0
30,1762844282.4196022,1593.1088695526123,0,1344.703289,600,1,1,5,0.7066495449251401,unknown,7775.4568023,100.0,0
31,1762844336.769518,1647.4587852954865,0,730.677523,600,1,1,4,0.8011496856432748,unknown,6626.724535000001,100.0,0
32,1762844388.630155,1699.3194224834442,0,-6385.396828,600,1,1,0,0.7304850921550046,unknown,4637.3762444,100.0,0
