episode,timestamp,elapsed_time_s,curriculum_level,episode_reward,episode_length,tumble_initiated,tumble_recovered,recovery_steps,disturbance_intensity,disturbance_type,rolling_10_reward,rolling_10_recovery_rate,rolling_50_recovery_rate
1,1762847543.2974818,63.243796825408936,0,15072.910847,600,1,1,3,0.7247620332939035,unknown,15072.910847,0,0
2,1762847595.544827,115.49114203453064,0,17471.172483,600,1,1,6,0.7903791569270371,unknown,16272.041664999999,0,0
3,1762847647.6780338,167.62434887886047,0,13626.428413,600,1,1,3,0.7699737240470058,unknown,15390.170580999998,0,0
4,1762847703.2155032,223.16181826591492,0,15892.714561,600,1,1,6,0.8051401229913505,unknown,15515.806575999999,0,0
5,1762847755.469253,275.415568113327,0,26660.101161,600,1,1,18,0.8326273748565953,unknown,17744.665493,0,0
6,1762847808.4238567,328.3701717853546,0,25457.319849,600,1,1,18,0.7329548327950197,unknown,19030.107885666668,0,0
7,1762847863.5756488,383.5219638347626,0,27618.338428,600,1,1,23,0.7340168512487609,unknown,20256.997963142854,0,0
8,1762847916.0562935,436.00260853767395,0,7458.709189,600,1,1,0,0.7932347845815904,unknown,18657.211866375,0,0
9,1762847968.5224051,488.4687201976776,0,21564.003024,600,1,1,20,0.7756024091699314,unknown,18980.188661666667,0,0
10,1762848020.991605,540.9379200935364,0,16301.168585,600,1,1,7,0.7604396577314372,unknown,18712.286654000003,100.0,0
11,1762848077.128652,597.0749671459198,0,18963.394556,600,1,1,17,0.867740385756669,unknown,19101.3350249,100.0,0
12,1762848128.9513822,648.8976972103119,0,9918.027206,600,1,1,4,0.7600570343726714,unknown,18346.0204972,100.0,0
13,1762848181.1212125,701.0675275325775,0,19747.946812,600,1,1,16,0.7040677329472222,unknown,18958.1723371,100.0,0
14,1762848236.4021518,756.348466873169,0,13709.498323,600,1,1,8,0.8107909444303375,unknown,18739.850713300002,100.0,0
15,1762848290.8456156,810.7919306755066,0,19260.975809,600,1,1,16,0.8880585364440524,unknown,17999.9381781,100.0,0
16,1762848342.6771762,862.6234912872314,0,18807.972175,600,1,1,17,0.7325765382524456,unknown,17335.0034107,100.0,0
17,1762848394.6490438,914.5953588485718,0,2907.029876,600,1,1,0,0.7201292066020167,unknown,14863.872555499998,100.0,0
18,1762848449.3136182,969.2599332332611,0,8943.657289,600,1,1,3,0.8134136179177439,unknown,15012.367365499997,100.0,0
19,1762848503.6077998,1023.554114818573,0,12801.99434,600,1,1,10,0.7160231815838075,unknown,14136.1664971,100.0,0
20,1762848556.4204748,1076.36678981781,0,25854.707217,600,1,1,16,0.7054070390794873,unknown,15091.5203603,100.0,0
21,1762848611.2307465,1131.1770615577698,0,27365.115964,600,1,1,17,0.8311295684920956,unknown,15931.692501099998,100.0,0
22,1762848663.015239,1182.9615540504456,0,9726.495648,600,1,1,2,0.7534940639638902,unknown,15912.539345300003,100.0,0
23,1762848714.9084742,1234.8547892570496,0,23878.69831,600,1,1,19,0.8109517462394811,unknown,16325.614495100002,100.0,0
24,1762848770.1472828,1290.0935978889465,0,12847.805367,600,1,1,6,0.8818605306267089,unknown,16239.445199500002,100.0,0
25,1762848822.433554,1342.3798689842224,0,22649.995316,600,1,1,17,0.7893389659038862,unknown,16578.3471502,100.0,0
26,1762848874.5123487,1394.458663702011,0,21495.090669,600,1,1,13,0.8952261374786041,unknown,16847.058999599998,100.0,0
27,1762848926.3898876,1446.33620262146,0,6353.675023,600,1,1,0,0.8672102069701558,unknown,17191.723514299996,100.0,0
28,1762848981.0525115,1500.9988265037537,0,20403.161361,600,1,1,12,0.8256530825386579,unknown,18337.673921499998,100.0,0
29,1762849033.1146815,1553.0609965324402,0,25861.297008,600,1,1,21,0.8064575614357382,unknown,19643.6041883,100.0,0
30,1762849084.9947622,1604.9410772323608,0,6907.162621,600,1,1,1,0.7040726544764775,unknown,17748.8497287,100.0,0
31,1762849139.4529536,1659.3992686271667,0,20254.848176,600,1,1,13,0.7014266905029185,unknown,17037.822949899997,100.0,0
32,1762849191.4908385,1711.4371535778046,0,21377.656718,600,1,1,14,0.7228905583481116,unknown,18202.9390569,100.0,0
33,1762849243.5246415,1763.4709565639496,0,21920.874804,600,1,1,17,0.7194675913964812,unknown,18007.156706299997,100.0,0
34,1762849295.722723,1815.6690380573273,0,7457.389468,600,1,1,0,0.8234934204189182,unknown,17468.115116399997,100.0,0
35,1762849350.2440438,1870.190358877182,0,25956.164598,600,1,1,18,0.7176980531454147,unknown,17798.7320446,100.0,0
36,1762849402.0525727,1921.9988877773285,0,19289.514658,600,1,1,12,0.8859442527594255,unknown,17578.1744435,100.0,0
37,1762849453.9402728,1973.8865878582,0,19129.733244,600,1,1,16,0.8030432084497835,unknown,18855.7802656,100.0,0
38,1762849508.3791842,2028.3254992961884,0,16035.773855,600,1,1,14,0.7132409651732067,unknown,18419.041515,100.0,0
39,1762849560.4380603,2080.384375333786,0,13295.03269,600,1,1,4,0.8566942770036139,unknown,17162.4150832,100.0,0
40,1762849612.6285725,2132.5748875141144,0,18533.025058,600,1,1,11,0.7262411434647659,unknown,18325.001326899997,100.0,0
41,1762849666.7369976,2186.6833126544952,0,16397.854053,600,1,1,10,0.87503616046659,unknown,17939.301914599997,100.0,0
42,1762849718.6454792,2238.5917942523956,0,21997.766083,600,1,1,17,0.763212838616281,unknown,18001.3128511,100.0,0
43,1762849770.6054132,2290.551728248596,0,13330.961404,600,1,1,10,0.8796606413002049,unknown,17142.3215111,100.0,0
44,1762849822.473556,2342.4198710918427,0,21660.470073,600,1,1,15,0.7563082408043582,unknown,18562.629571600002,100.0,0
45,1762849876.681936,2396.6282510757446,0,7878.791943,600,1,1,3,0.8210891340273999,unknown,16754.892306100002,100.0,0
46,1762849928.952747,2448.8990621566772,0,9191.568526,600,1,1,3,0.7766808636944811,unknown,15745.097692899997,100.0,0
47,1762849981.0316918,2500.978006839752,0,15414.815543,600,1,1,8,0.8018795143787707,unknown,15373.6059228,100.0,0
48,1762850035.717036,2555.66335105896,0,17812.917892,600,1,1,16,0.8611588202980296,unknown,15551.3203265,100.0,0
49,1762850087.851308,2607.797623157501,0,16955.754622,600,1,1,16,0.7400731298099139,unknown,15917.3925197,100.0,0
50,1762850139.7451577,2659.6914727687836,0,21015.934807,600,1,1,18,0.7798491890416612,unknown,16165.683494600002,100.0,100.0
51,1762850191.9879885,2711.93430352211,1,19588.062719,600,1,1,27,1.0158024281372293,unknown,16484.7043612,100.0,100.0
52,1762850247.0166986,2766.963013648987,1,8763.885435,600,1,1,19,1.0473400361930645,unknown,15161.316296400002,100.0,100.0
53,1762850299.165155,2819.1114699840546,1,9080.530082,600,1,1,3,1.007457338518064,unknown,14736.273164200004,100.0,100.0
54,1762850351.2236478,2871.1699628829956,1,10390.903014,600,1,1,21,1.0079843745064578,unknown,13609.3164583,100.0,100.0
55,1762850406.1283026,2926.074617624283,1,16169.984936,600,1,1,12,0.9144585922769075,unknown,14438.4357576,100.0,100.0
56,1762850458.0452948,2977.991609811783,1,10594.692367,600,1,1,25,0.9715772197900382,unknown,14578.748141700004,100.0,100.0
57,1762850510.091636,3030.0379509925842,1,11643.915509,600,1,1,4,0.977020899594137,unknown,14201.658138300001,100.0,100.0
58,1762850562.2150705,3082.161385536194,1,5774.420226,600,1,1,0,1.097699563751894,unknown,12997.8083717,100.0,100.0
59,1762850617.068721,3137.0150361061096,1,18686.582003,600,1,1,25,1.088344263618104,unknown,13170.8911098,100.0,100.0
60,1762850668.943453,3188.8897681236267,1,18193.582732,600,1,1,12,0.9049052990458594,unknown,12888.6559023,100.0,100.0
61,1762850721.138796,3241.085111141205,1,7707.061032,600,1,1,2,0.9822720273351316,unknown,11700.5557336,100.0,100.0
62,1762850775.7526762,3295.6989912986755,1,18306.104766,600,1,1,16,1.051899362685922,unknown,12654.7776667,100.0,100.0
63,1762850827.5572114,3347.5035264492035,1,15852.422972,600,1,1,27,1.047061099638003,unknown,13331.966955699998,100.0,100.0
64,1762850879.2642984,3399.210613489151,1,17537.770246,600,1,1,16,1.04248991728335,unknown,14046.6536789,100.0,100.0
65,1762850933.582477,3453.528792142868,1,21203.921668,600,1,1,18,0.9334264322882759,unknown,14550.0473521,100.0,100.0
66,1762850985.366543,3505.312858104706,1,5921.362368,600,1,1,22,0.987876107929,unknown,14082.7143522,100.0,100.0
67,1762851037.5457566,3557.4920716285706,1,7134.527341,600,1,1,3,0.999901154968087,unknown,13631.7755354,100.0,100.0
68,1762851089.3012042,3609.2475192546844,1,1647.887236,600,1,1,24,0.953338391805752,unknown,13219.122236399999,100.0,100.0
69,1762851143.745746,3663.692060947418,1,8280.764037,600,1,1,2,0.902176052898143,unknown,12178.5404398,100.0,100.0
70,1762851195.7172918,3715.6636068820953,1,9014.328944,600,1,1,3,0.9359208586185646,unknown,11260.615061,100.0,100.0
71,1762851212.8254225,3732.771737575531,1,33911.129948,78,1,0,0,1.0120904716440324,unknown,13881.021952600004,90.0,98.0
72,1762851264.701408,3784.6477229595184,1,16672.282233,600,1,1,24,1.0970239850736723,unknown,13717.6396993,90.0,98.0
73,1762851318.9538615,3838.900176525116,1,17507.92656,600,1,1,17,0.9714766226835467,unknown,13883.190058099999,90.0,98.0
74,1762851370.7577083,3890.704023361206,1,19174.687999,600,1,1,17,0.9192434382048423,unknown,14046.8818334,90.0,98.0
75,1762851422.4668088,3942.413123846054,1,19649.393305,600,1,1,17,0.9904852312755585,unknown,13891.4289971,90.0,98.0
76,1762851477.1125166,3997.058831691742,1,18797.704981,600,1,1,17,1.0415156882429422,unknown,15179.063258399998,90.0,98.0
77,1762851528.9080307,4048.8543457984924,1,74256.567253,600,1,1,64,1.0717708904812522,unknown,21891.2672496,90.0,98.0
78,1762851580.84128,4100.787595033646,1,15170.894499,600,1,1,9,1.0960413549201726,unknown,23243.5679759,90.0,98.0
79,1762851632.7690642,4152.715379238129,1,18826.964588,600,1,1,13,1.0734504429861202,unknown,24298.188031,90.0,98.0
80,1762851687.3548138,4207.301128864288,1,12630.654583,600,1,1,8,1.035631856357202,unknown,24659.8205949,90.0,98.0
81,1762851739.1809468,4259.12726187706,1,8416.263656,600,1,1,22,1.0803481863236613,unknown,22110.3339657,100.0,98.0
82,1762851791.0116212,4310.957936286926,1,18877.792338,600,1,1,17,1.06933921136927,unknown,22330.8849762,100.0,98.0
83,1762851845.4238186,4365.370133638382,1,8176.313613,600,1,1,3,1.0789949840339295,unknown,21397.7236815,100.0,98.0
84,1762851897.0895982,4417.035913228989,1,19523.10216,600,1,1,17,0.9472103466951839,unknown,21432.5650976,100.0,98.0
85,1762851948.8371801,4468.783495187759,1,18090.68263,600,1,1,18,1.099030444223758,unknown,21276.6940301,100.0,98.0
86,1762852000.7348921,4520.681207180023,1,16624.404887,600,1,1,19,1.0279023896833384,unknown,21059.3640207,100.0,98.0
87,1762852055.1702042,4575.116519212723,1,7661.931293,600,1,1,23,0.9839604580533582,unknown,14399.900424700001,100.0,98.0
88,1762852107.2517805,4627.198095560074,1,18455.675953,600,1,1,17,1.0710756330925584,unknown,14728.378570099998,100.0,98.0
89,1762852159.2104492,4679.156764268875,1,20893.137061,600,1,1,22,1.0058423152842118,unknown,14934.995817399997,100.0,98.0
90,1762852214.030342,4733.976657152176,1,22306.368552,600,1,1,25,1.0248691390947111,unknown,15902.567214299997,100.0,98.0
91,1762852265.915391,4785.861706018448,1,12384.924548,600,1,1,23,0.9279917317775062,unknown,16299.433303499998,100.0,98.0
92,1762852318.0150437,4837.961358785629,1,11989.485948,600,1,1,8,0.908334761268769,unknown,15610.6026645,100.0,98.0
93,1762852369.8804731,4889.826788187027,1,6149.828384,600,1,1,23,0.9480641139181413,unknown,15407.954141599996,100.0,98.0
94,1762852424.8652825,4944.811597585678,1,16581.722723,600,1,1,25,1.0824528897249126,unknown,15113.816197899996,100.0,98.0
95,1762852476.737902,4996.684216976166,1,2560.559224,600,1,1,26,1.047382061710839,unknown,13560.8038573,100.0,98.0
96,1762852530.0834286,5050.029743671417,1,20094.503692,600,1,1,17,0.9548067020719815,unknown,13907.813737800001,100.0,98.0
97,1762852589.9064212,5109.852736234665,1,15948.137659,600,1,1,13,0.9814730731893897,unknown,14736.434374400002,100.0,98.0
98,1762852641.742046,5161.688361167908,1,16566.532486,600,1,1,17,1.0702331028125391,unknown,14547.5200277,100.0,98.0
99,1762852693.9610555,5213.907370567322,1,13316.902486,600,1,1,12,0.9713844192747584,unknown,13789.896570199999,100.0,98.0
100,1762852748.959275,5268.905590057373,1,18112.349963,600,1,1,17,0.9517742125940656,unknown,13370.494711300003,100.0,98.0
101,1762852801.0871878,5321.033502817154,2,17288.32248,600,1,1,17,1.4765716855791682,unknown,13860.834504499999,100.0,98.0
102,1762852853.167223,5373.11353802681,2,19563.707402,600,1,1,27,1.3577877373953984,unknown,14618.2566499,100.0,98.0
103,1762852905.2730255,5425.21934056282,2,21665.008695,600,1,1,18,1.1363694846445993,unknown,16169.774681,100.0,98.0
104,1762852964.627381,5484.573696136475,2,-1599.299598,600,1,1,19,1.2790492185443134,unknown,14351.672448899999,100.0,98.0
105,1762853018.703571,5538.649886131287,2,4299.154482,600,1,1,15,1.3930036457197281,unknown,14525.5319747,100.0,98.0
106,1762853071.2343473,5591.18066239357,2,-2712.301594,600,1,1,3,1.4131024439131008,unknown,12244.8514461,100.0,98.0
107,1762853126.7452438,5646.691558837891,2,3194.48498,600,1,1,21,1.2245010241849856,unknown,10969.486178199999,100.0,98.0
108,1762853178.8630815,5698.809396505356,2,18163.532697,600,1,1,18,1.3086049835735323,unknown,11129.1861993,100.0,98.0
109,1762853230.7787895,5750.725104570389,2,19852.606005,600,1,1,17,1.1913069494275956,unknown,11782.7565512,100.0,98.0
110,1762853282.7148383,5802.661153316498,2,15421.480618,600,1,1,17,1.110724964181889,unknown,11513.669616700001,100.0,98.0
111,1762853337.6324625,5857.578777551651,2,3238.659795,600,1,1,17,1.2374694036682277,unknown,10108.703348199999,100.0,98.0
112,1762853389.7830417,5909.729356765747,2,15390.210593,600,1,1,16,1.171746219947615,unknown,9691.353667300002,100.0,98.0
113,1762853442.027804,5961.974118947983,2,15290.321317,600,1,1,16,1.377888608509028,unknown,9053.8849295,100.0,98.0
114,1762853497.407161,6017.353476047516,2,13673.759863,600,1,1,22,1.2066148899151834,unknown,10581.190875600001,100.0,98.0
115,1762853549.3269842,6069.273299217224,2,18644.973722,600,1,1,28,1.1196957004426713,unknown,12015.7727996,100.0,98.0
116,1762853601.6230497,6121.569364786148,2,17751.506857,600,1,1,17,1.3940541168312597,unknown,14062.1536447,100.0,98.0
117,1762853657.1454115,6177.091726541519,2,18471.276875,600,1,1,16,1.4968712611560806,unknown,15589.832834199999,100.0,98.0
118,1762853709.3995721,6229.345887184143,2,18964.218098,600,1,1,17,1.2686578864576754,unknown,15669.901374300001,100.0,98.0
119,1762853761.5446172,6281.490932226181,2,-976.909514,600,1,1,5,1.4982816865129678,unknown,13586.949822400002,100.0,98.0
120,1762853813.8490884,6333.79540348053,2,19178.394677,600,1,1,14,1.2375914137711037,unknown,13962.641228299999,100.0,98.0
121,1762853869.3439682,6389.290283203125,2,18571.454589,600,1,1,28,1.300539343486952,unknown,15495.9207077,100.0,100.0
