#{"t_start": 1763207953.3312006, "env_id": "None"}
r,l,t
14394.63929,500,47.7335
14126.236467,500,92.534381
12819.984806,500,137.319797
14251.701836,500,182.569644
13817.665615,500,231.718901
14283.111402,500,276.234076
13426.363885,500,320.727798
14097.885172,500,365.145832
13699.064137,500,413.492549
14208.595485,500,458.595677
13456.122425,500,503.695877
13862.593482,500,548.83166
13917.86822,500,597.608468
12579.104627,500,642.744191
13153.510958,500,687.553566
14139.832565,500,731.961872
12304.999393,500,780.169025
13149.236111,500,824.768435
14005.440616,500,869.544711
13194.626132,500,914.300292
12788.928485,500,962.35441
13823.160751,500,1007.013493
12916.331777,500,1051.852321
13540.152997,500,1096.482221
13531.207258,500,1144.754428
13360.952582,500,1189.431528
12189.736409,500,1234.077528
13090.368159,500,1278.907179
13564.707398,500,1327.267507
12773.039044,500,1372.007606
12907.175097,500,1416.672565
12526.384398,500,1461.401332
12893.79351,500,1509.539872
13073.22573,500,1554.253109
13020.070995,500,1598.979828
12399.043376,500,1643.670961
13257.143134,500,1691.920904
13242.152975,500,1736.688352
13722.970916,500,1781.320649
12514.430192,500,1825.954129
